nombre_caso,TipoCaso,operacion,token,status,cod_rta,title,mensaje_rta,body_response,consumer_id,document_type,document_number,channel,ip_address,terminal,timestamp,origin,subscriptionType,subscriptionCategory_id,subscriptionCompany_id,subscriptionCustomer_id,subscriptionAdditional_data,subscriptionAmount,subscriptionCurrency,subscriptionInvoice_id,recurrent_payment_type,max_amount,date_from,date_to,email,first_due_date_only,card.number,card.expiration_date,accountType,accountNumber,accountCurrency,stopDebit.type,stopDebit.dueDate,stopDebit.categoryID,stopDebit.companyID,stopDebit.customerID,stopDebit.currency,stopDebit.invoiceID,operacionFixer,idCliente,fiid,idFactura,tipoDoc,nroDoc
"""recurrent_payments  - Origen 1 - Canal E - REC PA32 - Consumer id field is required - Campo inexistente""",C,recurrent_payments,si,400,PA32, ,Consumer id field is required,""" """,null,"""DNI""","""23000000""","""E""","""10.10.10.92""","""terminalGL""","""12345678901234""","""1""","""CREATE""","""AGUA""","""AYSA""","""0000000112""",null,null,"""ARS""","""FACTURA91""","""AUTOMATIC""",400,null,null,"""mail@mail.com""",true,null,null,"""11""","""402191770755""","""ARS""",null,null,null,null,null,null,null,getUdf,null,BSTN,null,1,30000001
"""recurrent_payments  - Origen 1 - Canal E - REC 404 - Delegacion - Consumer id value is not valid - campo vacio""",C,recurrent_payments, ,404,ACV-404,identifier not Found,Consumer id value is not valid,""" """,""" ""","""DNI""","""23000000""","""E""","""10.10.10.92""","""terminalGL""","""12345678901234""","""1""","""CREATE""","""AGUA""","""AYSA""","""0000000112""",null,null,"""ARS""","""FACTURA91""","""AUTOMATIC""",400,null,null,"""mail@mail.com""",true,null,null,"""11""","""402191770755""","""ARS""",null,null,null,null,null,null,null,null,null,null,null,null,null
"""recurrent_payments  - Origen 1 - Canal E - REC 404 - Delegacion - Consumer id value is not valid - Valor incorrecto""",C,recurrent_payments, ,404,ACV-404,identifier not Found,Consumer id value is not valid,""" ""","""GLC#""","""DNI""","""23000000""","""E""","""10.10.10.92""","""terminalGL""","""12345678901234""","""1""","""CREATE""","""AGUA""","""AYSA""","""0000000112""",null,null,"""ARS""","""FACTURA91""","""AUTOMATIC""",400,null,null,"""mail@mail.com""",true,null,null,"""11""","""402191770755""","""ARS""",null,null,null,null,null,null,null,null,null,null,null,null,null
"""recurrent_payments  - Origen 1 - Canal E - REC 404 - Delegacion - Consumer id value is not valid - Valor incorrecto""",C,recurrent_payments, ,404,ACV-404,identifier not Found,Consumer id value is not valid,""" ""","""XXXX""","""DNI""","""23000000""","""E""","""10.10.10.92""","""terminalGL""","""12345678901234""","""1""","""CREATE""","""AGUA""","""AYSA""","""0000000112""",null,null,"""ARS""","""FACTURA91""","""AUTOMATIC""",400,null,null,"""mail@mail.com""",true,null,null,"""11""","""402191770755""","""ARS""",null,null,null,null,null,null,null,null,null,null,null,null,null
"""recurrent_payments  - Origen 1 - Canal E - REC 404 - Delegacion - Consumer id value is not valid - Longitud de campo invalida""",C,recurrent_payments, ,404,ACV-404,identifier not Found,Consumer id value is not valid,""" ""","""GLCAA""","""DNI""","""23000000""","""E""","""10.10.10.92""","""terminalGL""","""12345678901234""","""1""","""CREATE""","""AGUA""","""AYSA""","""0000000112""",null,null,"""ARS""","""FACTURA91""","""AUTOMATIC""",400,null,null,"""mail@mail.com""",true,null,null,"""11""","""402191770755""","""ARS""",null,null,null,null,null,null,null,null,null,null,null,null,null
"""recurrent_payments  - Origen 1 - Canal E - REC PA34 - Document type field is required - Campo inexistente""",C,recurrent_payments, ,400,PA34, ,Document type field is required,""" ""","""GLCA""",null,"""23000000""","""E""","""10.10.10.92""","""terminalGL""","""12345678901234""","""1""","""CREATE""","""AGUA""","""AYSA""","""0000000112""",null,null,"""ARS""","""FACTURA91""","""AUTOMATIC""",400,null,null,"""mail@mail.com""",true,null,null,"""11""","""402191770755""","""ARS""",null,null,null,null,null,null,null,null,null,null,null,null,null
"""recurrent_payments  - Origen 1 - Canal E - REC PA33 - Document type value is not valid - campo vacio""",C,recurrent_payments, ,400,PA33, ,Document type value is not valid,""" ""","""GLCA""",""" ""","""23000000""","""E""","""10.10.10.92""","""terminalGL""","""12345678901234""","""1""","""CREATE""","""AGUA""","""AYSA""","""0000000112""",null,null,"""ARS""","""FACTURA91""","""AUTOMATIC""",400,null,null,"""mail@mail.com""",true,null,null,"""11""","""402191770755""","""ARS""",null,null,null,null,null,null,null,null,null,null,null,null,null
"""recurrent_payments  - Origen 1 - Canal E - REC PA33 - Document type value is not valid - Valor incorrecto""",C,recurrent_payments, ,400,PA33, ,Document type value is not valid,""" ""","""GLCA""","""DNA""","""23000000""","""E""","""10.10.10.92""","""terminalGL""","""12345678901234""","""1""","""CREATE""","""AGUA""","""AYSA""","""0000000112""",null,null,"""ARS""","""FACTURA91""","""AUTOMATIC""",400,null,null,"""mail@mail.com""",true,null,null,"""11""","""402191770755""","""ARS""",null,null,null,null,null,null,null,null,null,null,null,null,null
"""recurrent_payments  - Origen 1 - Canal E - REC PA33 - Document type value is not valid - Longitud de campo invalida""",C,recurrent_payments, ,400,PA33, ,Document type value is not valid,""" ""","""GLCA""","""DNII""","""23000000""","""E""","""10.10.10.92""","""terminalGL""","""12345678901234""","""1""","""CREATE""","""AGUA""","""AYSA""","""0000000112""",null,null,"""ARS""","""FACTURA91""","""AUTOMATIC""",400,null,null,"""mail@mail.com""",true,null,null,"""11""","""402191770755""","""ARS""",null,null,null,null,null,null,null,null,null,null,null,null,null
"""recurrent_payments  - Origen 1 - Canal E - REC PA36 - Document number field is required - Campo inexistente""",C,recurrent_payments, ,400,PA36, ,Document number field is required,""" ""","""GLCA""","""DNI""",null,"""E""","""10.10.10.92""","""terminalGL""","""12345678901234""","""1""","""CREATE""","""AGUA""","""AYSA""","""0000000112""",null,null,"""ARS""","""FACTURA91""","""AUTOMATIC""",400,null,null,"""mail@mail.com""",true,null,null,"""11""","""402191770755""","""ARS""",null,null,null,null,null,null,null,null,null,null,null,null,null
